time_s,radius_cm,temperature_degC,C_kgkg_dry,D_m2_s,H_log,M_log,D_over_D0,T_rate_K_s,C_rate_kgkg_s,H_rate_s-1,M_rate_s-1,lnD_rate_s-1,lnD_rate_step_error_s-1,net_sign_certified,rate_interpretable
110,0,28.000028693640701,2.5499999999999998,5.6416872451237799e-09,1.2180934543795305e-06,0,1.0000012180941955,2.3147595020015879e-06,0,9.826543641443859e-08,0,9.826543641443859e-08,2.0797643862726669e-13,1,1
111,0,28.000031084713541,2.5499999999999998,5.6416878177836336e-09,1.3195985191496659e-06,0,1.0000013195993884,2.4685978351849749e-06,0,1.0479613089151991e-07,0,1.0479613089151991e-07,6.0703862013728433e-12,1,1
112,0,28.000033633293061,2.5499999999999998,5.6416884281662651e-09,1.4277900065593277e-06,0,1.0000014277910247,2.6298062332230643e-06,0,1.1163969669078567e-07,0,1.1163969669078567e-07,5.3208776379567367e-12,1,1
113,0,28.000036346849523,2.5499999999999998,5.6416890780607932e-09,1.5429850389568622e-06,0,1.0000015429862299,2.7985851505836954e-06,0,1.1880464339805579e-07,0,1.1880464339805579e-07,4.5943513460788926e-12,1,1
114,0,28.000039233053759,2.5499999999999998,5.6416897693043794e-09,1.6655092590234927e-06,0,1.0000016655106447,2.9751352794704644e-06,0,1.2629949068716587e-07,0,1.2629949068716587e-07,3.8994215860942761e-12,1,1
115,0,28.000042299777316,2.5499999999999998,5.6416905037822841e-09,1.7956968247643049e-06,0,1.0000017956984355,3.1596571436291283e-06,0,1.3413275107605691e-07,0,1.3413275107605691e-07,3.239009213094828e-12,1,1
116,0,28.000045555092054,2.5499999999999998,5.641691283427722e-09,1.9338903994902193e-06,0,1.000001933892269,3.3523510361751123e-06,0,1.4231292728712502e-07,0,1.4231292728712502e-07,2.6097660529855568e-12,1,1
117,0,28.000049007270164,2.5499999999999998,5.6416921102218824e-09,2.0804411518179911e-06,0,1.0000020804433152,3.5534173340086754e-06,0,1.5084852559433369e-07,0,1.5084852559433369e-07,2.0189565379371639e-12,1,1
118,0,28.000052664784103,2.5499999999999998,5.6416929861939427e-09,2.2357087506611958e-06,0,1.0000022357112499,3.7630558165820584e-06,0,1.5974802690338049e-07,0,1.5974802690338049e-07,1.4602764478921858e-12,1,1
119,0,28.000056536305703,2.5499999999999998,5.6416939134208038e-09,2.4000613301671317e-06,0,1.0000024000642085,3.9814658817268374e-06,0,1.6901989591356146e-07,0,1.6901989591356146e-07,9.2577512635536788e-13,1,1
120,0,28.000060630706567,2.5499999999999998,5.6416948940272544e-09,2.5738755030741897e-06,0,1.0000025738788145,4.2088488442596842e-06,0,1.786726786970458e-07,0,1.786726786970458e-07,5.2050404254761229e-12,1,1
121,0,28.000064957057443,2.5499999999999998,5.6416959301857305e-09,2.757536335666784e-06,0,1.0000027575401365,4.4453980129569929e-06,0,1.8871458144943356e-07,0,1.8871458144943356e-07,5.5211159233836837e-12,1,1
122,0,28.000069524625456,2.5499999999999998,5.6416970241157687e-09,2.9514372375770426e-06,0,1.0000029514415925,4.6913158723664123e-06,0,1.9915419988600291e-07,0,1.9915419988600291e-07,5.7996827996832995e-12,1,1
123,0,28.00007434287761,2.5499999999999998,5.641698178084685e-09,3.1559800903495014e-06,0,1.0000031559850688,4.9467990338077552e-06,0,2.0999988038606302e-07,0,2.0999988038606302e-07,6.0679738728340008e-12,1,1
124,0,28.000079421477437,2.5499999999999998,5.641699394406964e-09,3.3715751305641098e-06,0,1.0000033715808132,5.212044002611548e-06,0,2.2125996482143769e-07,0,2.2125996482143769e-07,6.3377454543855984e-12,1,1
125,0,28.000084770284889,2.5499999999999998,5.6417006754440904e-09,3.5986409281305032e-06,0,1.0000035986474036,5.4872469196591087e-06,0,2.329427795839363e-07,0,2.329427795839363e-07,6.6074566781693198e-12,1,1
126,0,28.000090399355656,2.5499999999999998,5.6417020236044081e-09,3.8376043629126042e-06,0,1.0000038376117242,5.7726031081154847e-06,0,2.4505661634292161e-07,0,2.4505661634292161e-07,6.8778792311165411e-12,1,1
127,0,28.000096318940326,2.5499999999999998,5.6417034413430056e-09,4.0889005863261815e-06,0,1.0000040889089448,6.0683071074762998e-06,0,2.5760973349014993e-07,0,2.5760973349014993e-07,7.148553114568141e-12,1,1
128,0,28.000102539483631,2.5499999999999998,5.6417049311614177e-09,4.3529729929544375e-06,0,1.000004352982468,6.374552542117347e-06,0,2.7061035055895907e-07,0,2.7061035055895907e-07,7.4188624834259998e-12,1,1
129,0,28.000109071623399,2.5499999999999998,5.6417064956074435e-09,4.6302731771365527e-06,0,1.0000046302838963,6.6915320976098265e-06,0,2.840666472182709e-07,0,2.840666472182709e-07,7.6903029537177214e-12,1,1
