parameter,location,time_s,C_base,C_minus20,C_plus20,C_secant_elasticity,T_base,T_minus20,T_plus20,T_rise_secant_elasticity_blank_if_rise_lt_0.05K
hm,axis,194,2.55,2.55,2.55,0.0,28.001852611833282,28.001850424580933,28.001854757654964,
hm,axis,195,2.55,2.55,2.55,0.0,28.0019115266677,28.001909261278623,28.001913748982815,
hm,axis,196,2.55,2.55,2.55,0.0,28.001971811969817,28.001969466320144,28.001974112850995,
hm,axis,197,2.55,2.55,2.55,0.0,28.002033486563878,28.002031058493532,28.00203586811866,
hm,axis,198,2.55,2.55,2.55,0.0,28.002096569279,28.002094056590487,28.00209903365124,
hm,axis,199,2.55,2.55,2.55,0.0,28.002161078943605,28.00215847940243,28.002163628313056,
hm,axis,200,2.55,2.55,2.55,0.0,28.002227034382337,28.002224345716694,28.002229670964912,
hm,axis,201,2.55,2.55,2.55,0.0,28.002294454411327,28.002291674313067,28.002297180457905,
hm,axis,202,2.55,2.55,2.55,0.0,28.002363357840416,28.00236048396214,28.00236617563917,
hm,axis,203,2.55,2.55,2.55,0.0,28.00243376345547,28.00243079341494,28.00243667533089,
hm,axis,204,2.55,2.55,2.55,0.0,28.002505690036628,28.002502621412212,28.002508698348475,
hm,axis,205,2.55,2.55,2.55,0.0,28.002579156326505,28.002575986659057,28.002582263472142,
hm,axis,206,2.55,2.55,2.55,0.0,28.002654181054112,28.00265090784824,28.002657389465302,
hm,axis,207,2.55,2.55,2.55,0.0,28.002730782907232,28.00272740362826,28.00273409505442,
hm,axis,208,2.55,2.55,2.55,0.0,28.002808980547346,28.00280549262517,28.002812398934402,
hm,axis,209,2.55,2.55,2.55,0.0,28.002888792595368,28.002885193419505,28.00289231976556,
hm,axis,210,2.55,2.55,2.55,0.0,28.002970237624872,28.002966524551614,28.002973876154062,
hm,axis,211,2.55,2.55,2.55,0.0,28.00305333418059,28.003049504522377,28.00305708668674,
hm,axis,212,2.55,2.55,2.55,0.0,28.003138100752196,28.003134151790125,28.003141969882336,
hm,axis,213,2.55,2.55,2.55,0.0,28.003224555775212,28.003220484746585,28.003228544220583,
hm,axis,214,2.55,2.55,2.55,0.0,28.00331271764871,28.003308521758367,28.00331682812988,
hm,axis,215,2.55,2.55,2.55,0.0,28.003402604686883,28.003398281098153,28.003406839966377,
hm,axis,216,2.55,2.55,2.55,0.0,28.003494235180007,28.003489781018548,28.003498598052378,
hm,axis,217,2.55,2.55,2.55,0.0,28.0035876273172,28.003583039677814,28.00359212061599,
hm,axis,218,2.55,2.55,2.55,0.0,28.00368279925855,28.00367807518876,28.003687425854835,
hm,axis,219,2.55,2.55,2.55,0.0,28.00377976907301,28.003774905592092,28.00378453186581,
hm,axis,220,2.55,2.55,2.55,0.0,28.003878554768512,28.003873548850134,28.00388345670364,
hm,axis,221,2.55,2.55,2.55,0.0,28.003979174279568,28.003974022868302,28.003984218328082,
hm,axis,222,2.55,2.55,2.55,0.0,28.004081645454217,28.004076345448986,28.00408683463397,
hm,axis,223,2.55,2.55,2.55,0.0,28.00418598609648,28.004180534358916,28.00419132346043,
hm,axis,224,2.55,2.55,2.55,0.0,28.00429221389728,28.004286607263765,28.004297702519363,
hm,axis,225,2.55,2.55,2.55,0.0,28.004400346472895,28.0043945817275,28.00440598948251,
hm,axis,226,2.55,2.55,2.55,0.0,28.00451040138668,28.004504475278353,28.004516201942625,
hm,axis,227,2.55,2.55,2.55,0.0,28.0046223960641,28.00461630532154,28.004628357348253,
hm,axis,228,2.55,2.55,2.55,0.0,28.00473634787684,28.004730089170653,28.004742473125816,
hm,axis,229,2.55,2.55,2.55,0.0,28.00485227411983,28.004845844087953,28.004858566591672,
hm,axis,230,2.55,2.55,2.55,0.0,28.004970191936717,28.004963587199075,28.00497665493255,
hm,axis,231,2.55,2.55,2.55,0.0,28.005090118438538,28.005083335553923,28.00509675529529,
hm,axis,232,2.55,2.55,2.55,0.0,28.00521207062672,28.00520510612756,28.00521888470881,
hm,axis,233,2.55,2.55,2.55,0.0,28.005336065370404,28.00532891575681,28.005343060083554,
hm,axis,234,2.55,2.55,2.55,0.0,28.0054621194736,28.00545478120262,28.005469298256855,
hm,axis,235,2.55,2.55,2.55,0.0,28.005590249629236,28.005582719122938,28.00559761595789,
hm,axis,236,2.55,2.55,2.55,0.0,28.005720472429896,28.005712746074973,28.00572802981264,
hm,axis,237,2.55,2.55,2.55,0.0,28.00585280435912,28.005844878505897,28.005860556339748,
hm,axis,238,2.55,2.55,2.55,0.0,28.005987261795003,28.00597913275783,28.005995211951692,
hm,axis,239,2.55,2.55,2.55,0.0,28.006123861005385,28.006115525063667,28.006132012949767,
hm,axis,240,2.55,2.55,2.55,0.0,28.006262618146135,28.00625407154335,28.00627097552464,
hm,axis,241,2.55,2.55,2.55,0.0,28.006403549266984,28.0063947882107,28.006412115760305,
hm,axis,242,2.55,2.55,2.55,0.0,28.006546670289612,28.006537690951944,28.0065554496124,
hm,axis,243,2.55,2.55,2.55,0.0,28.006691997035272,28.006682795553093,28.00670099293595,
hm,axis,244,2.55,2.55,2.55,0.0,28.00683954520243,28.006830117677545,28.006848761463015,
hm,axis,245,2.55,2.55,2.55,0.0,28.00698933037037,28.006979672869672,28.00699877080626,
hm,axis,246,2.55,2.55,2.55,0.0,28.007141367997505,28.007131476553198,28.00715103645737,
hm,axis,247,2.55,2.55,2.55,0.0,28.007295673419772,28.007285544029493,28.007305573785256,
hm,axis,248,2.55,2.55,2.55,0.0,28.007452261848908,28.007441890475985,28.00746239803455,
hm,axis,249,2.55,2.55,2.55,0.0,28.00761114837092,28.007600530944526,28.007621524323895,
hm,axis,250,2.55,2.55,2.55,0.0,28.00777234794436,28.00776148035974,28.00778296764428,
hm,axis,251,2.55,2.55,2.55,0.0,28.007935875398978,28.007924753517635,28.0079467428577,
hm,axis,252,2.55,2.55,2.55,0.0,28.00810174543403,28.008090365083962,28.008112864695406,
hm,axis,253,2.55,2.55,2.55,0.0,28.00826997261679,28.008258329592707,28.00828134775644,
hm,axis,254,2.55,2.55,2.55,0.0,28.008440571380966,28.008428661444487,28.008452206506114,
