question,group,case,time_s,r_m,T,C
2,F01,q23_F01_r96_z0_v2,7200,0.0050000000000000001,41.6722313453119,2.514032337526686
2,F01,q23_F01_r96_z0_v2,7200,0.01,41.718353655877841,2.4806277930448868
2,F01,q23_F01_r96_z0_v2,7200,0.014999999999999999,41.791132394108111,2.411203080110496
2,F01,q23_F01_r96_z0_v2,7200,0.02,41.85282686133209,2.2911954574711868
2,F01,q23_F01_r96_z0_v2,9000,0,42.033278137893284,2.491584740484075
2,F01,q23_F01_r96_z0_v2,9000,0.0050000000000000001,42.038284236840838,2.4782312138033369
2,F01,q23_F01_r96_z0_v2,9000,0.01,42.052508244148896,2.4351235383768084
2,F01,q23_F01_r96_z0_v2,9000,0.014999999999999999,42.074622659141518,2.3547813877040626
2,F01,q23_F01_r96_z0_v2,9000,0.02,42.122882483324524,2.2297176139784307
2,F01,q23_F01_r96_z0_v2,10800,0,42.193576623193053,2.4503054897936498
2,F01,q23_F01_r96_z0_v2,10800,0.0050000000000000001,42.195437243488726,2.4346648317488211
2,F01,q23_F01_r96_z0_v2,10800,0.01,42.203343137570066,2.3860035394247028
2,F01,q23_F01_r96_z0_v2,10800,0.014999999999999999,42.216749196774479,2.2999499148732352
2,F01,q23_F01_r96_z0_v2,10800,0.02,42.204602115344585,2.1704546056227834
2,F11,q23_F11_r96_z128_v2,1800,0,31.258073337975134,2.5499956485925321
2,F11,q23_F11_r96_z128_v2,1800,0.0050000000000000001,31.434542415339067,2.5499288709715944
2,F11,q23_F11_r96_z128_v2,1800,0.01,31.964201485191893,2.5486254626509659
2,F11,q23_F11_r96_z128_v2,1800,0.014999999999999999,32.849867889737546,2.5400385128117589
2,F11,q23_F11_r96_z128_v2,1800,0.02,34.098288524162157,2.5123987760797468
2,F11,q23_F11_r96_z128_v2,3600,0,37.57930734754536,2.5489997457127438
2,F11,q23_F11_r96_z128_v2,3600,0.0050000000000000001,37.689445529733007,2.5476724555369721
2,F11,q23_F11_r96_z128_v2,3600,0.01,38.011278085288737,2.5408582869024254
2,F11,q23_F11_r96_z128_v2,3600,0.014999999999999999,38.519451545360035,2.5162927418660184
2,F11,q23_F11_r96_z128_v2,3600,0.02,39.165559078211096,2.4420604006108872
2,F11,q23_F11_r96_z128_v2,5400,0,40.560131741691094,2.542455174525839
2,F11,q23_F11_r96_z128_v2,5400,0.0050000000000000001,40.601957130986875,2.5376841166675064
2,F11,q23_F11_r96_z128_v2,5400,0.01,40.723595281203856,2.5181232308631665
2,F11,q23_F11_r96_z128_v2,5400,0.014999999999999999,40.915322598454303,2.4676155350050757
2,F11,q23_F11_r96_z128_v2,5400,0.02,41.138687386336983,2.3621829868386008
2,F11,q23_F11_r96_z128_v2,7200,0,41.65655175104429,2.5236190035352917
2,F11,q23_F11_r96_z128_v2,7200,0.0050000000000000001,41.672240870367197,2.514032291513955
2,F11,q23_F11_r96_z128_v2,7200,0.01,41.718361263388168,2.480627694505591
